city,Latitude,Longitude 
San Marcos,29.8830556,-97.9411111
Lackland Afb,29.38421,-98.581082
Chester (Uk/England),53.2,-2.916667
Edna,28.9783333,-96.6458333
Kaneohe,21.4180556,-157.8036111
Bristol,36.595,-82.1888889
Penarth (Uk/Wales),51.434722,-3.18
Norwalk,41.1175,-73.4083333
Pell City,33.5861111,-86.2861111
Live Oak,30.2947222,-82.9841667
Hawthorne,33.9163889,-118.3516667
Brevard,35.2333333,-82.7344444
Bellmore,40.6686111,-73.5275
Manchester,37.1536111,-83.7619444
Lexington,35.8238889,-80.2536111
Harlan County,36.8430556,-83.3219444
West Bloomfield,42.5377778,-83.2330556
Niantic,41.3252778,-72.1936111
Bermuda Nas,32.364167,-64.678611
Hudson,42.3916667,-71.5666667
Cardiff (Uk/Wales),51.5,-3.2
Hudson,38.1055556,-98.6597222
North Charleston,32.8544444,-79.975
Washougal,45.5827778,-122.3522222
Stoke Mandeville (Uk/England),51.783333,-0.783333
San Antonio,29.4238889,-98.4933333
Louisville,38.2541667,-85.7594444
Elmont,40.7008333,-73.7133333
Poughkeepsie,41.7002778,-73.9213889
Saddle Lake (Canada),53.970571,-111.689885
San Diego,32.7152778,-117.1563889
Security,38.7583333,-104.7425
Houston,29.7630556,-95.3630556
Dallas,32.7833333,-96.8
Manchester,42.9955556,-71.4552778
Gisborne (New Zealand),-38.662334,178.017649
Houston,29.7630556,-95.3630556
Traverse City,44.7630556,-85.6205556
White Plains,41.0338889,-73.7633333
Leeds (Uk/England),53.8,-1.583333
Holmes/Pawling,41.523427,-73.646795
Milwaukee,43.0388889,-87.9063889
New Gloucester,43.9627778,-70.2830556
Boulder,40.015,-105.27
Seattle (Ballard Area),47.6063889,-122.3308333
Calabasas,34.1577778,-118.6375
Centralia,46.7163889,-122.9530556
Kranklin,36.722263,-86.577218
Ashburn,31.7058333,-83.6533333
Frisco,35.235,-75.6288889
Harrisburg,40.2736111,-76.8847222
Panama City,30.1586111,-85.6602778
Stafford,29.6158333,-95.5575
Seymour,35.8905556,-83.7247222
Weatherford,32.7591667,-97.7969444
Zlatoust (Russia),55.183333,59.65
Peoria,40.6936111,-89.5888889
Carthage,36.2522222,-85.9516667
Mercedies,26.149798,-97.913611
Burnt Hills,42.9097222,-73.8955556
Pinebergen,34.1027778,-91.9922222
Toronto (Greater Toronto Area) (Canada),43.666667,-79.416667
Milwaukee,43.0388889,-87.9063889
Oakland,37.8044444,-122.2697222
Higginsville,39.0725,-93.7169444
Lake Macquarie (Nsw&#44 Australia),-33.093373,151.588982
Charleston,32.7763889,-79.9311111
Monroe County,39.4402778,-84.3622222
Connersville,39.6411111,-85.1411111
Mesa,33.4222222,-111.8219444
Bonaire,32.5436111,-83.5961111
Austin,43.6666667,-92.9744444
Hollywood,34.0983333,-118.3258333
Phoenix (North Part),33.4483333,-112.0733333
Elgin,42.0372222,-88.2811111
Las Vegas,36.175,-115.1363889
Las Vegas,36.175,-115.1363889
Nyc/Westchester Area,40.935998,-73.901708
Spokane (About 30 Miles Sw Of&#44I-90&#44 Maybe Mm 254),47.6588889,-117.425
Mooresville,35.5847222,-80.8102778
St. John&#39S (Canada),47.55,-52.666667
Delano,35.265,-84.5533333
Martinez,38.0194444,-122.1330556
Kansas City,39.1141667,-94.6272222
Dallas,32.7833333,-96.8
San Diego,32.7152778,-117.1563889
Kennewick,46.2113889,-119.1361111
Hayward,37.6688889,-122.0797222
Rachel,37.6447222,-115.7427778
Humphrey,41.6916667,-97.4841667
Casey Key (North End Of),27.150053,-82.480653
Elgin,45.565,-117.9163889
Lewiston,44.8838889,-84.3055556
Perryville,37.7241667,-89.8611111
Boynton Beach,26.525,-80.0666667
Victoria (Canada),46.216667,-63.483333
Jueanu,43.40555,-88.705104
Valley Park Area Of St. Louis,38.627003,-90.199404
Brinktown,38.1266667,-92.0844444
Florence,38.9988889,-84.6266667
Seattle (West),47.6063889,-122.3308333
Port Orchard,47.5405556,-122.635
Rockwell City,42.3952778,-94.6336111
Sydney (Nsw&#44 Australia),-33.861481,151.205475
Vancouver (Canada),49.25,-123.133333
Hayward,37.6688889,-122.0797222
Ottumwa,41.0041667,-92.3736111
Fresno,36.7477778,-119.7713889
Phoenix,33.4483333,-112.0733333
Virginia Beach,36.8527778,-75.9783333
Hayward,46.0130556,-91.4844444
Philomath,44.5402778,-123.3663889
Adelaide (Pt. Wakefield) (South Australia),-34.928661,138.598633
Seattle,47.6063889,-122.3308333
Victoria (Canada),46.216667,-63.483333
Cincinnati,39.1619444,-84.4569444
Portland,45.5236111,-122.675
New Buffulo,41.79393,-86.743915
Alhambra,34.0952778,-118.1261111
Indianapolis,39.7683333,-86.1580556
Centreville,38.8402778,-77.4291667
Grand View,42.9897222,-116.0925
Temperance,41.7791667,-83.5688889
Crescent Beach,33.8075,-78.7011111
Albuquerque,35.0844444,-106.6505556
Bickerton (Near Wetherby) (Uk/England),53.070884,-2.736506
Gleason,45.3088889,-89.4963889
Mahwah,41.0886111,-74.1441667
Worthington St. Forest,40.058324,-74.405661
Portage La Prairie (Canada),49.966667,-98.3
Terre Haute,39.4666667,-87.4138889
Indianapolis,39.7683333,-86.1580556
Nobel (Canada),45.416667,-80.1
Morgantown,39.6294444,-79.9561111
Berkeley,37.8716667,-122.2716667
Rock Island,41.5094444,-90.5786111
Kedainiai (Lithuania),55.288131,23.957728
Chateauqua,42.209774,-79.466844
Ripley,42.2669444,-79.7108333
Faribault,44.295,-93.2686111
